point,bv,notebook,month,day,year,habtype,spp,round,region,area,impound,int,short,tall,pe,pcgrass,up,bg,water,wood,other,crop,central,north,east,south,west,averagewater,plant1,plant2,plant3,waterp,woodp,dead
178,v,NA,9,NA,2015,ms,NA,2,ne,ccnwr,ccmsu2,0,70,0,0,0,20,0,0,0,10,0,0,0,0,0,0,0,sedge,cocklebur,aa smartweed,NA,NA,NA
1163,v,NA,9,NA,2015,ms,NA,2,ne,ccnwr,ccmsu2,0,65,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,sedge,cocklebur,spikerush,NA,NA,NA
1169,v,NA,9,NA,2015,ms,NA,2,ne,ccnwr,ccmsu2,0,65,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,sedge,cocklebur,spikerush,NA,NA,NA
1162,v,NA,9,NA,2015,ms,NA,2,ne,ccnwr,ccmsu2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sedge,spikerush,a smartweed,NA,NA,NA
1305,v,NA,9,NA,2015,ms,NA,2,ne,ccnwr,ccmsu2,0,60,0,0,0,25,0,0,0,15,0,0,0,0,0,0,0,sedge,cocklebur,a smartweed,NA,NA,NA
1176,v,NA,9,NA,2015,ms,NA,2,ne,ccnwr,ccmsu2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a smartweed,spikerush,NA,NA,NA,NA
1165,v,NA,9,NA,2015,ms,NA,2,ne,ccnwr,ccmsu2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a smartweed,spikerush,NA,NA,NA,NA
1168,v,NA,9,NA,2015,ms,NA,2,ne,ccnwr,ccmsu2,0,80,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,a smartweed,spikerush,cocklebur,NA,NA,NA
1166,v,NA,9,NA,2015,ms,NA,2,ne,ccnwr,ccmsu2,0,80,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,a smartweed,spikerush,cocklebur,NA,NA,NA
1171,v,NA,9,NA,2015,ms,NA,2,ne,ccnwr,ccmsu2,0,80,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,a smartweed,spikerush,cocklebur,NA,NA,NA
1172,v,NA,9,NA,2015,ms,NA,2,ne,ccnwr,ccmsu2,0,65,0,5,0,20,10,0,0,0,0,0,0,0,0,0,0,a smartweed,cocklebur,spikerush,NA,NA,NA
1173,v,NA,9,NA,2015,ms,NA,2,ne,ccnwr,ccmsu2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a smartweed,spikerush,NA,NA,NA,NA
1174,v,NA,9,NA,2015,ms,NA,2,ne,ccnwr,ccmsu2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a smartweed,spikerush,NA,NA,NA,NA
1164,v,NA,9,NA,2015,ms,NA,2,ne,ccnwr,ccmsu2,0,40,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,a smartweed,cocklebur,spikerush,NA,NA,NA
1177,v,NA,9,NA,2015,ms,NA,2,ne,ccnwr,ccmsu2,0,70,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,a smartweed,cocklebur,millet,NA,NA,NA
1161,v,NA,9,NA,2015,ms,NA,2,ne,ccnwr,ccmsu2,0,55,0,0,0,30,5,0,0,10,0,0,0,0,0,0,0,a smartweed,spikerush,millet,NA,NA,NA
1179,v,NA,9,NA,2015,ms,NA,2,ne,ccnwr,ccmsu2,0,85,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,a smartweed,spikerush,bulrush,NA,NA,NA
1170,v,NA,9,NA,2015,ms,NA,2,ne,ccnwr,ccmsu2,0,70,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,a smartweed,cocklebur,sedge,NA,NA,NA
1175,v,NA,9,NA,2015,ms,NA,2,ne,ccnwr,ccmsu2,0,55,0,0,0,20,10,0,5,10,0,0,0,0,0,0,0,a smartweed,cocklebur,spikerush,NA,NA,NA
hp177,b,NA,9,NA,2015,ms,sora,2,ne,tsca,ts2a,0,85,0,0,0,0,0,0,0,15,0,17,18,31,21,1,17.6,a smartweed,millet,primrose,NA,NA,NA
hp333,b,NA,9,NA,2015,ms,sora,2,ne,tsca,ts4a,16,70,0,0,0,0,0,20,0,10,0,8,10,8,14,13,10.6,a smartweed,primrose,NA,NA,NA,NA
hp177,b,NA,9,NA,2015,ms,sora,2,ne,tsca,ts4a,16,70,0,0,0,0,0,20,0,10,0,8,10,8,14,13,10.6,a smartweed,primrose,NA,NA,NA,NA
hp176,b,NA,9,NA,2015,ms,sora,2,ne,tsca,ts4a,23,65,0,0,0,0,0,25,0,10,0,14,15,16,17,21,16.6,a smartweed,primrose,NA,NA,NA,NA
af123,b,NA,9,NA,2015,ms,sora,2,ne,tsca,ts4a,23,60,0,0,0,0,0,30,0,10,0,29,29,21,22,26,25.4,a smartweed,primrose,NA,NA,NA,NA
af124,b,NA,9,NA,2015,ms,sora,2,ne,tsca,ts4a,6,90,0,0,0,0,0,10,0,0,0,31,34,29,34,28,31.2,a smartweed,NA,NA,NA,NA,NA
hp168,b,NA,9,NA,2015,ms,sora,2,ne,tsca,ts8a,0,75,0,0,0,15,0,0,0,10,0,0,0,0,0,0,0,a smartweed,millet,cocklebur,NA,NA,NA
af125,b,NA,9,NA,2015,ms,sora,2,ne,tsca,ts8a,0,90,0,0,0,0,0,0,0,10,0,16,19,19,20,18,18.4,a smartweed,millet,primrose,NA,NA,NA
